Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,13.55,13.78,13.44,13.55,11.989756,2960800
2010-01-04,14.15,14.94,14.14,14.81,13.104671000000002,8833800
2010-01-05,14.9,15.22,14.72,14.8,13.095822,7420500
2010-01-06,14.82,15.33,14.35,15.05,13.317037,8882700
2010-01-07,14.94,14.99,14.53,14.93,13.210854000000001,4852300
2010-01-08,14.91,14.97,14.5,14.76,13.060425,4107200
2010-01-11,14.9,14.97,14.16,14.4,12.741881,5517400
2010-01-12,14.07,14.24,13.8,14.12,12.494121,6459700
2010-01-13,13.88,13.95,13.2,13.57,12.007455,11785400
2010-01-14,13.57,13.72,13.33,13.68,12.104786,4577100
2010-01-15,13.72,13.85,13.42,13.77,12.184426,4888700
2010-01-19,13.84,13.86,13.56,13.58,12.016303,6044100
2010-01-20,13.48,13.93,13.38,13.83,12.237515,6745600
2010-01-21,13.82,13.92,13.32,13.36,11.821634,5319900
2010-01-22,13.33,13.52,12.89,12.97,11.476543,5375400
2010-01-25,13.05,13.11,12.72,13.01,11.511935000000001,5364200
2010-01-26,12.93,13.19,12.77,12.96,11.467691,4372100
2010-01-27,12.91,12.98,12.37,12.86,11.379207000000001,7481500
2010-01-28,12.92,12.92,12.52,12.69,11.228783,4309700
2010-01-29,12.75,13.04,12.47,12.5,11.060661999999999,4205400
2010-02-01,12.59,12.86,12.53,12.83,11.352664,4127200
2010-02-02,12.9,13.07,12.62,12.98,11.485389999999999,6676400
2010-02-03,12.27,12.58,12.08,12.26,10.848294000000001,15369200
2010-02-04,12.05,12.16,11.88,11.91,10.538599000000001,9604200
2010-02-05,11.93,12.04,11.67,12.0,10.618235,10448800
2010-02-08,12.0,12.03,11.72,11.81,10.450114,6548600
2010-02-09,11.93,12.15,11.69,12.0,10.618235,6759700
2010-02-10,12.0,12.0,11.68,11.92,10.547446,5574000
2010-02-11,11.93,11.96,11.66,11.79,10.432416,6091600
2010-02-12,11.59,12.0,11.48,11.91,10.538599000000001,7982200
2010-02-16,12.05,12.2,11.88,12.15,10.750963,5381400
2010-02-17,12.16,12.17,11.72,11.87,10.503204,6258100
2010-02-18,11.81,12.06,11.81,12.02,10.635932,5042700
2010-02-19,12.0,12.3,11.94,12.23,10.821750999999999,5825700
2010-02-22,12.25,12.32,11.92,11.97,10.591687,6269200
2010-02-23,11.94,11.98,11.64,11.7,10.352775,6884400
2010-02-24,11.72,12.18,11.69,12.01,10.627084,7707500
2010-02-25,11.74,11.99,11.66,11.98,10.600536,6072500
2010-02-26,11.98,12.07,11.78,11.92,10.547446,4161000
2010-03-01,11.99,12.01,11.82,11.84,10.47666,5209200
2010-03-02,11.9,12.59,11.86,12.44,11.007569,8606000
2010-03-03,12.55,13.14,12.5,12.97,11.476543,8556400
2010-03-04,13.0,13.16,12.7,13.16,11.644666,6377900
2010-03-05,13.28,13.62,13.18,13.43,11.883571,8337400
2010-03-08,13.46,13.71,13.33,13.58,12.016303,7974900
2010-03-09,13.46,13.58,13.2,13.33,11.795089,6372700
2010-03-10,13.3,13.93,13.07,13.9,12.299456,7373400
2010-03-11,13.89,14.35,13.62,13.74,12.15788,6643800
2010-03-12,13.94,13.98,13.6,13.77,12.184426,3748300
2010-03-15,13.7,13.73,13.44,13.68,12.104786,4762200
2010-03-16,13.74,13.97,13.58,13.92,12.317152,5592900
2010-03-17,14.01,14.36,14.0,14.22,12.582608,6595200
2010-03-18,14.47,14.5,14.04,14.15,12.520667999999999,6258900
2010-03-19,13.84,14.12,13.45,13.84,12.246364999999999,6401300
2010-03-22,13.67,13.85,13.33,13.77,12.184426,5589200
2010-03-23,13.77,13.83,13.58,13.8,12.210973,2827900
2010-03-24,13.68,14.41,13.57,14.29,12.644546,10575900
2010-03-25,14.39,14.94,13.61,13.69,12.113636,10120800
2010-03-26,13.92,13.94,13.32,13.64,12.069392,5847400
2010-03-29,13.69,13.82,13.6,13.7,12.122485000000001,4113200
2010-03-30,13.7,13.79,13.51,13.61,12.042846,3953700
2010-03-31,13.6,13.93,13.57,13.9,12.299456,7186200
2010-04-01,14.14,14.43,14.03,14.39,12.733032000000001,5562000
2010-04-05,13.59,13.69,13.36,13.61,12.042846,14563900
2010-04-06,13.59,13.99,13.42,13.8,12.210973,6416000
2010-04-07,13.75,13.83,13.26,13.3,11.768543,7347300
2010-04-08,13.3,13.42,13.0,13.27,11.741997999999999,5736900
