Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,11.35,11.37,11.1,11.11,10.10234,5931900
2010-01-04,11.23,11.45,11.15,11.3,10.275106,9306600
2010-01-05,11.24,11.36,11.21,11.32,10.293294,11366100
2010-01-06,11.26,11.38,11.21,11.26,10.238736,6537800
2010-01-07,11.1,11.19,10.93,10.99,9.993223,15390800
2010-01-08,10.97,11.05,10.88,10.9,9.911387,11002500
2010-01-11,10.91,10.98,10.83,10.89,9.902295,8778400
2010-01-12,10.7,10.84,10.62,10.77,9.793178,21501800
2010-01-13,10.9,10.98,10.81,10.91,9.920478999999998,14237000
2010-01-14,10.79,10.95,10.79,10.86,9.875014,10650200
2010-01-15,11.02,11.07,10.8,10.89,9.902295,22440700
2010-01-19,10.9,10.95,10.75,10.84,9.856827000000001,16891000
2010-01-20,10.78,10.85,10.62,10.82,9.838642,24022200
2010-01-21,10.83,10.94,10.47,10.59,9.629505,19218100
2010-01-22,10.56,10.64,10.3,10.37,9.429458,12608200
2010-01-25,10.38,10.49,10.11,10.12,9.202131,30554200
2010-01-26,10.11,10.17,9.93,10.01,9.102108,42123300
2010-01-27,9.97,10.39,9.95,10.36,9.420363,23699200
2010-01-28,10.34,10.41,10.17,10.25,9.320342,18687500
2010-01-29,10.31,10.4,10.1,10.16,9.238503,13777800
2010-02-01,10.12,10.16,10.03,10.08,9.16576,13970400
2010-02-02,10.08,10.26,10.05,10.25,9.320342,15094300
2010-02-03,10.31,10.56,10.26,10.46,9.511294,21304300
2010-02-04,10.42,10.43,10.12,10.16,9.238503,12453700
2010-02-05,10.22,10.33,10.01,10.21,9.283968,15281000
2010-02-08,10.15,10.32,10.07,10.16,9.238503,10408700
2010-02-09,10.1,10.21,10.02,10.05,9.138482000000002,20451700
2010-02-10,10.15,10.3,10.09,10.1,9.183945,42206400
2010-02-11,10.7,11.19,10.66,11.07,10.065968,56354800
2010-02-12,10.97,11.15,10.82,11.11,10.10234,19642600
2010-02-16,11.12,11.15,10.98,11.01,10.01141,14720100
2010-02-17,11.03,11.21,10.99,11.15,10.138713000000001,19776400
2010-02-18,11.07,11.08,10.76,10.85,10.000457,21827100
2010-02-19,10.8,11.03,10.77,10.79,9.945155,20025000
2010-02-22,10.8,10.83,10.62,10.63,9.797682,15143600
2010-02-23,10.63,10.77,10.5,10.55,9.723948,13031000
2010-02-24,10.57,10.8,10.57,10.71,9.871419,11102600
2010-02-25,10.59,10.75,10.47,10.72,9.880635,15238300
2010-02-26,10.65,10.81,10.61,10.63,9.797682,12834200
2010-03-01,10.74,10.95,10.7,10.94,10.083409,15566100
2010-03-02,10.74,10.95,10.74,10.81,9.963588,19310800
2010-03-03,10.8,11.09,10.78,10.97,10.111061,19886400
2010-03-04,11.01,11.03,10.83,11.03,10.166363,14591300
2010-03-05,11.09,11.09,10.94,11.03,10.166363,13499000
2010-03-08,11.03,11.12,10.95,11.11,10.2401,9033300
2010-03-09,11.09,11.21,11.05,11.11,10.2401,9534800
2010-03-10,11.13,11.27,11.1,11.18,10.304619,11958800
2010-03-11,11.21,11.55,11.16,11.51,10.608781,18543900
2010-03-12,11.51,11.58,11.35,11.47,10.571913,18231500
2010-03-15,11.46,11.57,11.35,11.54,10.636431,10987000
2010-03-16,11.52,11.66,11.47,11.64,10.728601,16616600
