Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,16.040001,16.129998999999998,15.65,15.66,11.544422,2717700
2010-01-04,15.67,15.86,15.61,15.79,11.640257,5875500
2010-01-05,15.89,15.89,15.64,15.74,11.603394999999999,4288600
2010-01-06,15.74,15.84,15.66,15.69,11.566535,4671800
2010-01-07,15.72,15.72,15.33,15.49,11.419097,5909300
2010-01-08,15.42,15.58,15.3,15.55,11.463331,2398800
2010-01-11,15.69,15.79,15.54,15.75,11.610767,4536800
2010-01-12,15.69,15.77,15.56,15.66,11.544422,2906900
2010-01-13,15.68,15.86,15.56,15.78,11.632883,2073000
2010-01-14,15.77,15.95,15.7,15.8,11.64763,2644900
2010-01-15,15.78,15.79,15.49,15.69,11.566535,3998800
2010-01-19,15.69,15.91,15.65,15.9,11.721347999999999,1860700
2010-01-20,15.84,15.88,15.56,15.86,11.691861,3240300
2010-01-21,15.92,16.02,15.54,15.54,11.455956,3018700
2010-01-22,15.6,15.6,15.2,15.22,11.220054,4304900
2010-01-25,15.37,15.47,15.19,15.38,11.338009,2741700
2010-01-26,15.45,15.65,15.29,15.54,11.455956,3243200
2010-01-27,15.52,15.52,15.23,15.39,11.345378,3061000
2010-01-28,15.42,15.48,15.23,15.3,11.279033,2980200
2010-01-29,15.3,15.48,15.13,15.17,11.183199,4142700
2010-02-01,15.23,15.28,15.08,15.25,11.242172,3137700
2010-02-02,15.31,15.52,15.13,15.51,11.433844,2445800
2010-02-03,15.46,15.53,15.28,15.36,11.323265,2443400
2010-02-04,15.16,15.21,14.89,14.89,11.085035000000001,3015300
2010-02-05,14.86,14.91,14.57,14.81,11.025478999999999,2723300
2010-02-08,14.83,14.85,14.57,14.59,10.861696,2721000
2010-02-09,14.78,14.86,14.61,14.65,10.906365,2576100
2010-02-10,14.59,14.64,14.4,14.57,10.846808,2397400
2010-02-11,14.53,14.94,14.47,14.89,11.085035000000001,3992700
2010-02-12,14.81,14.88,14.71,14.83,11.040367999999999,3395000
2010-02-16,14.99,15.13,14.86,15.12,11.256263,1912200
2010-02-17,15.18,15.22,15.04,15.13,11.263705999999999,1475600
2010-02-18,15.16,15.27,15.05,15.19,11.308373,3177500
2010-02-19,15.14,15.61,15.05,15.58,11.598714999999999,4304500
2010-02-22,15.49,15.59,15.44,15.49,11.531714,2315700
2010-02-23,15.47,15.51,15.23,15.32,11.405156,3054700
2010-02-24,15.09,15.42,14.92,15.4,11.464715,4645400
2010-02-25,15.14,15.34,15.06,15.29,11.382823,3015400
2010-02-26,15.3,15.46,15.2,15.27,11.367933,2641200
2010-03-01,15.33,15.45,15.19,15.38,11.449822,5502600
2010-03-02,15.5,15.68,15.44,15.63,11.635939,5157200
2010-03-03,15.64,15.75,15.47,15.51,11.5466,5419300
2010-03-04,15.47,15.53,15.3,15.5,11.539157000000001,4527200
2010-03-05,15.56,15.69,15.49,15.69,11.680606,2549300
2010-03-08,15.59,15.74,15.57,15.62,11.628496,3532200
2010-03-09,15.62,15.79,15.48,15.76,11.732717999999998,4026000
2010-03-10,15.75,15.76,15.56,15.73,11.710383,3165500
2010-03-11,15.7,15.77,15.62,15.77,11.740163,1395100
2010-03-12,15.78,15.8,15.63,15.71,11.695496,1477000
2010-03-15,15.72,15.75,15.49,15.65,11.650828,1187900
2010-03-16,15.65,15.76,15.58,15.74,11.717830000000001,1851500
2010-03-17,15.75,15.83,15.59,15.75,11.725274,1901500
2010-03-18,15.71,15.93,15.68,15.83,11.784831,2197300
2010-03-19,15.82,16.0,15.68,15.82,11.777384,2113600
2010-03-22,15.74,15.75,15.61,15.67,11.665716,2246800
2010-03-23,15.66,15.74,15.61,15.69,11.680606,2558700
2010-03-24,15.67,15.71,15.47,15.55,11.576383,2180500
2010-03-25,15.59,15.73,15.43,15.43,11.487046000000001,2498600
2010-03-26,15.49,15.63,15.41,15.53,11.561492,3102800
2010-03-29,15.51,15.67,15.44,15.55,11.576383,2913100
2010-03-30,15.53,15.75,15.51,15.53,11.561492,2099200
2010-03-31,15.46,15.54,15.4,15.46,11.509379,2990400
2010-04-01,15.52,15.65,15.49,15.62,11.628496,3093400
2010-04-05,15.68,15.85,15.59,15.84,11.792275,2037400
2010-04-06,15.8,16.0,15.75,15.98,11.896498,2007900
2010-04-07,15.88,16.040001,15.85,15.94,11.866722,4070500
2010-04-08,15.87,15.94,15.69,15.78,11.747608,2122000
2010-04-09,15.77,15.91,15.65,15.9,11.836941,1898800
