Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,10.78,10.935,10.575,10.585,10.585,431200
2010-01-04,10.7,10.875,10.64,10.85,10.85,660000
2010-01-05,10.87,10.9,10.495,10.505,10.505,848800
2010-01-06,10.475,10.64,10.46,10.63,10.63,543200
2010-01-07,10.63,10.925,10.58,10.895,10.895,760200
2010-01-08,10.815,10.815,10.645,10.785,10.785,598200
2010-01-11,10.79,10.81,10.64,10.7,10.7,418800
2010-01-12,10.615,10.68,10.545,10.66,10.66,443800
2010-01-13,10.695,11.045,10.67,10.85,10.85,3340600
2010-01-14,10.89,11.075,10.825,11.0,11.0,454400
2010-01-15,11.035,11.11,10.91,11.02,11.02,771200
2010-01-19,10.765,10.805,10.38,10.5,10.5,1577600
2010-01-20,10.455,10.5,9.715,9.78,9.78,2897200
2010-01-21,9.74,10.035,9.56,9.705,9.705,1770800
2010-01-22,9.775,10.12,9.675,9.97,9.97,9959600
2010-01-25,9.945,10.05,9.765,9.895,9.895,1531400
2010-01-26,9.845,9.9,9.685,9.725,9.725,1824200
2010-01-27,9.73,9.98,9.675,9.845,9.845,1045400
2010-01-28,9.885,9.97,9.67,9.76,9.76,977000
2010-01-29,9.755,9.845,9.62,9.625,9.625,1754200
2010-02-01,9.675,9.735,9.625,9.64,9.64,1296600
2010-02-02,9.625,9.67,9.455,9.615,9.615,1174200
2010-02-03,9.62,9.665,9.51,9.555,9.555,646600
2010-02-04,9.49,9.565,9.265,9.27,9.27,807400
2010-02-05,9.27,9.315,8.965,9.2,9.2,834000
2010-02-08,9.22,9.28,8.945,9.04,9.04,710400
2010-02-09,9.095,9.235,8.8,9.15,9.15,1399000
2010-02-10,9.08,9.15,8.885,9.01,9.01,1601200
2010-02-11,8.965,9.01,8.825,8.99,8.99,1095000
2010-02-12,8.95,9.095,8.85,9.075,9.075,997600
2010-02-16,9.095,9.165,8.875,9.015,9.015,797800
2010-02-17,9.06,9.145,9.005,9.025,9.025,684600
2010-02-18,8.99,9.16,8.905,9.045,9.045,846600
2010-02-19,9.055,9.185,8.975,9.095,9.095,1051000
2010-02-22,9.075,9.18,8.965,9.015,9.015,528000
2010-02-23,9.03,9.03,8.925,8.985,8.985,669000
2010-02-24,8.975,9.005,8.86,8.94,8.94,490600
2010-02-25,8.85,9.015,8.85,8.96,8.96,572200
2010-02-26,8.98,9.0,8.885,8.935,8.935,566000
2010-03-01,8.965,9.13,8.855,9.105,9.105,775400
2010-03-02,9.105,9.335,9.105,9.275,9.275,1737200
2010-03-03,9.315,9.335,9.215,9.28,9.28,579600
2010-03-04,9.275,9.43,9.18,9.295,9.295,410200
2010-03-05,9.31,9.355,9.215,9.315,9.315,894600
2010-03-08,9.34,9.37,9.235,9.25,9.25,642600
2010-03-09,9.2,9.25,8.92,8.955,8.955,1347800
2010-03-10,8.98,9.0,8.855,8.975,8.975,1032600
2010-03-11,8.965,9.165,8.92,9.15,9.15,1205800
2010-03-12,9.145,9.225,9.005,9.04,9.04,678400
2010-03-15,9.05,9.29,8.955,9.285,9.285,856000
2010-03-16,9.325,9.595,9.215,9.595,9.595,809400
2010-03-17,9.625,9.83,9.59,9.83,9.83,1086800
2010-03-18,10.0,10.485,9.77,10.325,10.325,2382400
2010-03-19,10.915,11.03,10.345,10.915,10.915,5603600
2010-03-22,11.04,12.11,9.89,12.07,12.07,6589200
2010-03-23,12.11,12.36,11.65,12.12,12.12,4007000
2010-03-24,12.06,12.265,11.83,12.13,12.13,2081000
2010-03-25,12.205,12.515,12.005,12.055,12.055,1667800
2010-03-26,12.05,12.055,11.71,11.76,11.76,1272000
2010-03-29,11.765,12.085,11.695,12.06,12.06,1086800
2010-03-30,12.04,12.065,11.85,12.025,12.025,951600
2010-03-31,11.965,12.085,11.72,12.02,12.02,1497400
2010-04-01,12.065,12.3,12.065,12.295,12.295,1202000
2010-04-05,12.37,12.52,12.215,12.325,12.325,1272800
2010-04-06,12.325,12.44,12.2,12.295,12.295,933800
2010-04-07,12.245,12.37,12.06,12.135,12.135,1111800
2010-04-08,12.075,12.155,11.9,12.045,12.045,708800
2010-04-09,12.095,12.16,11.96,12.1,12.1,1552200
2010-04-12,12.19,12.19,12.055,12.065,12.065,1185400
2010-04-13,11.98,12.02,11.78,11.95,11.95,2099200
2010-04-14,12.02,12.2,11.88,12.155,12.155,2181600
2010-04-15,12.11,12.4,11.99,12.355,12.355,1004600
2010-04-16,12.355,12.475,12.13,12.23,12.23,930400
2010-04-19,12.175,12.72,12.175,12.58,12.58,1166600
2010-04-20,12.725,12.975,12.5,12.815,12.815,1007000
2010-04-21,12.82,12.89,12.455,12.54,12.54,848400
2010-04-22,12.46,12.585,12.255,12.585,12.585,656200
2010-04-23,12.575,12.72,12.405,12.71,12.71,563200
2010-04-26,12.69,12.745,12.21,12.33,12.33,1225200
2010-04-27,12.265,12.785,11.995,12.075,12.075,2047000
2010-04-28,12.135,12.205,11.73,11.98,11.98,1871600
2010-04-29,12.0,12.09,11.86,11.965,11.965,1835000
2010-04-30,11.925,12.015,11.45,11.45,11.45,1337600
2010-05-03,11.45,11.675,11.375,11.545,11.545,793800
2010-05-04,11.42,11.495,11.115,11.16,11.16,1144600
2010-05-05,11.16,11.225,10.99,11.175,11.175,1005400
2010-05-06,11.105,11.285,10.255,10.875,10.875,1034000
2010-05-07,10.845,10.845,10.32,10.515,10.515,1374400
2010-05-10,10.9,11.08,10.73,11.045,11.045,868000
2010-05-11,10.975,11.335,10.975,11.135,11.135,813000
2010-05-12,11.16,11.455,11.045,11.445,11.445,822000
2010-05-13,11.45,11.48,11.19,11.26,11.26,593600
2010-05-14,11.185,11.535,10.915,11.53,11.53,1151200
2010-05-17,11.64,11.895,11.41,11.54,11.54,1791200
2010-05-18,11.61,11.66,11.36,11.485,11.485,1375800
2010-05-19,11.46,11.67,11.415,11.52,11.52,810200
2010-05-20,11.315,11.365,10.83,10.845,10.845,1036000
2010-05-21,10.62,10.99,10.58,10.83,10.83,871400
2010-05-24,10.79,10.955,10.575,10.68,10.68,1040200
2010-05-25,10.49,10.72,10.38,10.675,10.675,557400
2010-05-26,10.71,11.25,10.66,10.995,10.995,1317400
2010-05-27,11.175,11.37,11.075,11.34,11.34,1156600
2010-05-28,11.285,11.51,10.99,11.41,11.41,1541000
2010-06-01,11.365,11.565,11.155,11.16,11.16,837800
2010-06-02,11.145,11.2,10.92,11.04,11.04,1640800
2010-06-03,11.11,11.48,11.075,11.41,11.41,1224800
2010-06-04,11.26,12.13,11.24,11.79,11.79,3060600
2010-06-07,11.785,11.91,11.405,11.805,11.805,1318000
2010-06-08,11.8,11.88,11.385,11.515,11.515,1264000
2010-06-09,11.525,11.675,11.25,11.32,11.32,854200
2010-06-10,11.47,11.48,11.3,11.385,11.385,517400
2010-06-11,11.29,11.565,11.205,11.455,11.455,419000
2010-06-14,11.52,11.54,11.38,11.415,11.415,564800
2010-06-15,11.475,11.57,11.365,11.545,11.545,560000
2010-06-16,11.505,11.63,11.455,11.555,11.555,416800
2010-06-17,11.555,11.675,11.485,11.67,11.67,468200
2010-06-18,11.875,11.955,11.635,11.83,11.83,1019600
2010-06-21,11.945,12.055,11.665,11.715,11.715,759000
2010-06-22,11.705,11.815,11.18,11.205,11.205,1322000
2010-06-23,11.235,11.8,11.095,11.62,11.62,1527200
2010-06-24,11.55,11.63,11.335,11.355,11.355,441600
2010-06-25,11.365,11.385,11.21,11.305,11.305,2220800
2010-06-28,11.305,11.38,11.025,11.05,11.05,634400
2010-06-29,10.91,11.03,10.55,10.62,10.62,1052400
2010-06-30,10.595,10.84,10.43,10.75,10.75,1171200
2010-07-01,10.685,10.72,10.285,10.575,10.575,1508400
2010-07-02,10.62,10.8,10.5,10.67,10.67,860000
2010-07-06,10.785,11.08,10.69,10.775,10.775,1168200
2010-07-07,10.825,10.89,10.335,10.54,10.54,1081400
2010-07-08,10.62,10.775,10.395,10.465,10.465,1065000
2010-07-09,10.48,10.515,10.26,10.425,10.425,847800
2010-07-12,10.38,10.42,10.195,10.315,10.315,489400
2010-07-13,10.435,10.72,10.23,10.685,10.685,958600
2010-07-14,10.695,11.025,10.665,10.905,10.905,768000
2010-07-15,10.88,11.02,10.785,10.95,10.95,716400
2010-07-16,10.875,10.9,10.435,10.5,10.5,659000
2010-07-19,10.51,10.57,10.345,10.46,10.46,447000
2010-07-20,10.34,10.64,10.3,10.63,10.63,580800
2010-07-21,10.605,10.71,10.12,10.12,10.12,654600
2010-07-22,10.235,10.385,10.14,10.345,10.345,579800
2010-07-23,10.35,10.68,10.22,10.605,10.605,601800
2010-07-26,10.655,10.885,10.62,10.86,10.86,593000
2010-07-27,10.875,11.39,10.875,11.08,11.08,1420200
2010-07-28,11.08,11.08,10.225,10.28,10.28,1258400
2010-07-29,10.365,10.42,10.0,10.195,10.195,678800
2010-07-30,10.09,10.725,10.06,10.655,10.655,1160400
2010-08-02,10.805,11.05,10.8,10.845,10.845,1369400
2010-08-03,10.795,11.155,10.67,11.07,11.07,835400
2010-08-04,11.09,11.66,11.09,11.325,11.325,1249600
2010-08-05,11.25,11.36,10.93,10.975,10.975,642200
2010-08-06,10.885,11.03,10.795,10.95,10.95,597200
2010-08-09,11.025,11.13,10.94,10.95,10.95,598800
2010-08-10,11.315,11.315,10.735,10.985,10.985,714200
2010-08-11,10.825,10.875,10.54,10.595,10.595,1138000
2010-08-12,10.495,10.58,10.36,10.465,10.465,879400
2010-08-13,10.41,10.615,10.255,10.515,10.515,735000
2010-08-16,10.515,10.61,10.38,10.565,10.565,813600
2010-08-17,10.645,10.695,10.44,10.49,10.49,1079400
2010-08-18,10.5,10.605,10.29,10.585,10.585,580200
2010-08-19,10.53,10.6,10.17,10.255,10.255,885600
2010-08-20,10.185,10.23,10.065,10.15,10.15,617000
2010-08-23,10.175,10.52,10.1,10.36,10.36,912200
2010-08-24,10.255,10.37,10.07,10.165,10.165,491600
2010-08-25,10.1,10.37,10.08,10.33,10.33,592600
2010-08-26,10.38,10.93,10.33,10.755,10.755,1595600
2010-08-27,10.795,10.99,10.54,10.925,10.925,738800
2010-08-30,10.915,10.915,10.415,10.42,10.42,806400
2010-08-31,10.38,10.395,10.005,10.11,10.11,1108800
