Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,6.065,6.165,5.9975,6.0275,5.030746,2666000
2010-01-04,6.07,6.22,6.07,6.175,5.153853,3658400
2010-01-05,6.18,6.2675,6.1275,6.195,5.170546,2300400
2010-01-06,6.2225,6.23,6.1525,6.2225,5.193497,1973200
2010-01-07,6.195,6.275,6.0875,6.11,5.099602,3284000
2010-01-08,6.1125,6.2025,6.0525,6.1825,5.160112000000001,2953600
2010-01-11,6.2375,6.365,6.1475,6.16,5.141334,2662800
2010-01-12,6.0925,6.1125,5.8975,5.9725,4.98484,3633600
2010-01-13,6.005,6.0475,5.8825,6.03,5.032832,4270000
2010-01-14,5.995,6.11,5.9775,6.095,5.087083,1902800
2010-01-15,6.1,6.135,5.955,5.9875,4.99736,1762000
2010-01-19,6.0125,6.035,5.9425,5.9825,4.993188,3280800
2010-01-20,5.9125,5.9425,5.5875,5.8625,4.893031,9663600
2010-01-21,5.865,5.9475,5.77,5.7725,4.817914,4024800
2010-01-22,5.7725,5.8925,5.7025,5.72,4.774096,2408000
2010-01-25,5.795,5.8,5.68,5.725,4.778269,2163600
2010-01-26,5.705,5.82,5.6925,5.75,4.799135,2957200
2010-01-27,5.7425,5.84,5.6975,5.79,4.832521,3150000
2010-01-28,5.625,6.0525,5.6125,5.945,4.961889,7434400
2010-01-29,5.97,6.0225,5.7275,5.7425,4.792876000000001,3995200
2010-02-01,5.76,5.8275,5.6725,5.7925,4.834606,3008400
2010-02-02,5.7875,5.825,5.7125,5.7975,4.83878,3220800
2010-02-03,5.775,5.775,5.6075,5.655,4.719844999999999,3061200
2010-02-04,5.6075,5.6075,5.4,5.4175,4.521619,3843600
2010-02-05,5.4025,5.455,5.2375,5.4375,4.538313,4368400
2010-02-08,5.46,5.57,5.3975,5.45,4.548744999999999,2963200
2010-02-09,5.5425,5.65,5.5125,5.59,4.665593,2731600
2010-02-10,5.6025,5.725,5.5775,5.6675,4.730278,3033200
2010-02-11,5.64,5.7775,5.605,5.7575,4.805394000000001,1676800
2010-02-12,5.7,5.88,5.6425,5.88,4.907636,3217200
2010-02-16,5.915,5.9775,5.8575,5.935,4.953542,2158000
2010-02-17,5.9375,6.0575,5.915,6.0025,5.00988,2915600
2010-02-18,6.0075,6.0625,5.995,6.0225,5.026572,2444000
2010-02-19,6.02,6.1275,5.9975,6.0675,5.064131,2002400
2010-02-22,6.075,6.17,6.075,6.1425,5.126729,2502800
2010-02-23,6.16,6.27,6.05,6.0775,5.072476999999999,4073200
2010-02-24,6.12,6.225,6.0775,6.2125,5.185153,3300000
2010-02-25,6.1175,6.28,6.09,6.26,5.224797,3001200
2010-02-26,6.25,6.555,6.2475,6.4825,5.410503,5360800
2010-03-01,6.5075,6.5775,6.4625,6.5525,5.468928,4155200
2010-03-02,6.565,6.6275,6.5325,6.62,5.525264,3745600
2010-03-03,6.6475,6.66,6.47,6.535,5.454321,2436400
2010-03-04,6.5575,6.6675,6.53,6.58,5.491880999999999,1379200
2010-03-05,6.61,6.6825,6.58,6.665,5.562823000000001,2158000
2010-03-08,6.6425,6.7675,6.61,6.735,5.6212480000000005,2644000
2010-03-09,6.715,6.8025,6.715,6.7625,5.6441989999999995,1665600
2010-03-10,6.7425,6.8375,6.7025,6.835,5.7047099999999995,2190800
2010-03-11,6.7625,6.8175,6.7275,6.78,5.658805999999999,2520000
2010-03-12,6.8,6.8075,6.7,6.7725,5.652546,2686400
2010-03-15,6.7775,6.7775,6.6625,6.7325,5.619161,1644400
2010-03-16,6.735,6.7925,6.69,6.7525,5.635854,1630400
2010-03-17,6.7825,6.8525,6.765,6.8375,5.706797,1506000
2010-03-18,6.825,6.875,6.8,6.82,5.692191,1400000
2010-03-19,6.71,6.8325,6.69,6.71,5.600382,2748800
2010-03-22,6.645,7.02,6.6375,6.96,5.80904,2503200
2010-03-23,6.955,7.0125,6.8925,7.0025,5.844513,1592400
2010-03-24,6.9425,6.9875,6.84,6.93,5.784001,1878000
2010-03-25,7.0175,7.095,6.875,6.885,5.746442,1461200
2010-03-26,6.8875,7.0775,6.885,7.0075,5.848685,1483200
2010-03-29,7.025,7.1,6.925,7.035,5.871637000000001,2206800
2010-03-30,7.035,7.08,6.9175,7.005,5.846598999999999,1400800
2010-03-31,6.995,7.0525,6.935,6.955,5.8048660000000005,2121600
2010-04-01,6.9925,7.075,6.9625,7.0525,5.8862440000000005,1418800
2010-04-05,7.0725,7.3075,7.0325,7.25,6.051083,1414000
2010-04-06,7.1975,7.3875,7.125,7.3225,6.111594,2918800
2010-04-07,7.325,7.3525,7.2125,7.2675,6.065688,1553200
2010-04-08,7.22,7.3775,7.15,7.31,6.101162,3105600
2010-04-09,7.3175,7.385,7.2975,7.3825,6.161671,1109600
2010-04-12,7.3725,7.3925,7.2925,7.3425,6.128286,2347200
