Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,11.95,12.12,11.65,11.67,9.182265,5173000
2010-01-04,11.8,12.01,11.71,11.82,9.300286,6997800
2010-01-05,11.85,12.11,11.78,12.09,9.512731,6070600
2010-01-06,12.07,12.2,12.0,12.16,9.567806,8102500
2010-01-07,12.05,12.66,12.05,12.61,9.921880999999999,13175100
2010-01-08,12.4,12.66,12.29,12.49,9.827461,8449100
2010-01-11,12.6,12.7,12.3,12.38,9.740911,8228200
2010-01-12,12.26,12.47,11.79,11.98,9.426181,12188000
2010-01-13,11.99,12.48,11.98,12.47,9.811728,7507600
2010-01-14,12.45,12.64,12.25,12.41,9.764517,9099800
2010-01-15,12.35,12.36,11.88,11.98,9.426181,8905900
2010-01-19,12.25,12.46,12.09,12.42,9.772386000000001,11094200
2010-01-20,12.35,12.35,12.03,12.25,9.638622999999999,7438800
2010-01-21,12.36,12.37,11.62,11.63,9.150793,13930200
2010-01-22,11.64,11.83,11.04,11.08,8.718038,16067400
2010-01-25,11.26,11.35,10.94,11.27,8.867535,9085600
2010-01-26,11.04,11.28,10.91,10.93,8.600013,7561700
2010-01-27,10.93,11.07,10.64,10.97,8.631486,12063200
2010-01-28,11.03,11.08,10.67,10.87,8.552802999999999,8637200
2010-01-29,10.85,11.03,10.46,10.6,8.340361,12882400
2010-02-01,10.7,11.01,10.65,10.94,8.607882,7114800
2010-02-02,10.94,11.53,10.81,11.37,8.946218,13279600
2010-02-03,11.3,11.4,10.99,11.34,8.92261,24945200
2010-02-04,11.36,11.4,10.67,10.69,8.411174,15489400
2010-02-05,10.67,11.01,10.47,10.9,8.576406,11451200
2010-02-08,10.9,11.18,10.71,10.78,8.481987,10732600
2010-02-09,11.13,11.13,10.63,10.77,8.474117999999999,10449200
2010-02-10,10.75,11.01,10.61,10.84,8.529198,7726300
2010-02-11,10.81,11.13,10.72,11.08,8.718038,8376800
2010-02-12,10.94,11.29,10.83,11.27,8.867535,9775000
2010-02-16,11.4,11.72,11.32,11.62,9.142922,10051200
2010-02-17,11.28,11.92,11.28,11.81,9.29242,9840700
2010-02-18,11.39,11.79,11.39,11.68,9.190132,9465400
2010-02-19,11.59,11.83,11.56,11.71,9.213737,7809200
2010-02-22,11.74,11.85,11.63,11.72,9.221606,6263800
2010-02-23,11.65,11.82,11.44,11.53,9.072105,6330400
2010-02-24,11.55,11.7,11.47,11.63,9.150793,7582800
2010-02-25,11.43,11.67,11.18,11.64,9.158661,5742900
2010-02-26,11.67,11.83,11.55,11.71,9.213737,8654700
2010-03-01,11.76,11.89,11.65,11.76,9.253079,5991400
2010-03-02,11.83,11.92,11.71,11.73,9.229472999999999,4988700
2010-03-03,11.68,11.93,11.6,11.86,9.331762,14403900
2010-03-04,11.99,12.06,11.83,12.05,9.481258,7808300
2010-03-05,12.16,12.55,12.05,12.54,9.866804,8629900
2010-03-08,12.5,12.69,12.4,12.59,9.906146000000001,6846000
2010-03-09,12.5,12.81,12.41,12.55,9.874672,8284700
2010-03-10,12.52,12.73,12.41,12.7,9.992696,7319000
2010-03-11,12.62,12.83,12.51,12.81,10.079247,7629900
2010-03-12,12.89,13.25,12.79,13.09,10.299555999999999,11092100
2010-03-15,12.99,13.15,12.78,13.0,10.228741000000001,9774300
2010-03-16,13.08,13.39,13.07,13.35,10.504134,8483400
2010-03-17,13.4,13.65,13.26,13.64,10.732314,14616000
2010-03-18,13.67,13.77,13.52,13.68,10.763786,8602700
2010-03-19,13.55,13.82,13.55,13.55,10.661499000000001,13525800
2010-03-22,13.43,14.03,13.28,13.91,10.944757000000001,11464200
2010-03-23,13.95,14.0,13.69,13.95,10.976227,6128700
2010-03-24,13.9,14.47,13.79,14.4,11.330300999999999,10285800
2010-03-25,14.49,14.95,14.47,14.54,11.440456,14073100
2010-03-26,14.6,14.96,14.53,14.6,11.487665,11139300
2010-03-29,14.55,14.73,14.37,14.62,11.511288,9168600
2010-03-30,14.63,14.82,14.52,14.76,11.62152,8078300
2010-03-31,14.68,14.92,14.53,14.65,11.534907,11379300
2010-04-01,14.73,14.85,14.64,14.81,11.660886,7957900
2010-04-05,14.92,15.13,14.86,15.13,11.912841,7525500
2010-04-06,15.07,15.38,14.91,15.38,12.109681,12362200
2010-04-07,15.31,15.33,14.81,14.93,11.755371,11149800
2010-04-08,14.84,15.11,14.78,14.96,11.778995,12002200
2010-04-09,15.0,15.18,14.99,15.12,11.904969,7313200
2010-04-12,15.2,15.2,14.93,14.98,11.794736,7631300
2010-04-13,15.01,15.5,14.95,15.4,12.12543,11532400
2010-04-14,15.55,15.57,15.32,15.49,12.196296,9343200
2010-04-15,15.44,15.51,15.0,15.03,11.834108,10374300
2010-04-16,14.98,15.17,14.59,14.61,11.503413,14625000
2010-04-19,14.5,14.94,14.21,14.83,11.676632000000001,9091800
2010-04-20,14.97,15.24,14.74,15.18,11.952210000000001,7997900
2010-04-21,15.41,15.78,15.29,15.71,12.369515,11037100
2010-04-22,15.55,16.360001,15.49,16.32,12.84981,13589600
2010-04-23,16.440001000000002,16.66,16.18,16.540001,13.023029,10546600
2010-04-26,16.52,16.879998999999998,16.5,16.780001000000002,13.212,10580400
2010-04-27,16.629998999999998,16.809998999999998,16.120001000000002,16.17,12.731707,13255000
2010-04-28,16.309998999999998,16.41,15.88,15.99,12.589979,13461400
2010-04-29,16.27,16.780001000000002,16.190001000000002,16.77,13.204122,14018900
2010-04-30,16.700001,16.91,16.23,16.26,12.802567,10466500
2010-05-03,16.48,17.09,16.48,16.940001000000002,13.337975,11618600
2010-05-04,16.639999,16.860001,16.209999,16.370001000000002,12.889178,14882200
2010-05-05,16.040001,16.459999,15.66,15.92,12.534862,11460900
2010-05-06,15.8,16.09,14.3,15.37,12.10181,19634900
2010-05-07,15.43,15.8,14.65,14.74,11.60577,19550800
2010-05-10,15.6,16.049999,15.28,16.040001,12.629349000000001,16695400
2010-05-11,15.68,16.16,15.53,15.92,12.534862,10723800
2010-05-12,16.0,16.33,15.87,16.26,12.802567,10376800
2010-05-13,16.23,16.459999,16.030001000000002,16.08,12.660843,12995700
2010-05-14,15.85,15.85,14.76,14.89,11.723874,19018200
2010-05-17,14.91,15.28,14.48,14.97,11.786864,18428400
2010-05-18,15.21,15.23,14.34,14.42,11.353814,14318500
2010-05-19,14.24,14.81,13.89,14.41,11.345938,15409900
2010-05-20,14.05,14.11,13.31,13.36,10.519203,24678300
2010-05-21,13.05,14.13,13.0,14.08,11.086108,19759400
2010-05-24,14.22,14.25,13.65,13.68,10.771161,12235600
2010-05-25,13.22,13.68,12.83,13.68,10.771161,18294900
2010-05-26,13.91,14.19,13.48,13.55,10.668806,12664600
2010-05-27,13.94,14.76,13.77,14.73,11.597897999999999,13627500
2010-05-28,14.82,14.86,14.17,14.26,11.227837,12064800
2010-06-01,14.11,14.57,13.97,14.15,11.141224000000001,14605000
2010-06-02,14.26,14.8,14.04,14.8,11.653011,15082900
2010-06-03,14.54,14.98,14.49,14.68,11.558527999999999,11449200
2010-06-04,14.18,14.56,13.55,13.65,10.747541,17707300
2010-06-07,13.77,14.04,13.32,13.36,10.519203,14598700
2010-06-08,13.38,13.85,12.98,13.83,10.889267,19239400
2010-06-09,13.98,14.63,13.92,14.06,11.070359,17843700
2010-06-10,14.33,14.89,14.26,14.84,11.684505999999999,10416200
2010-06-11,14.48,14.91,14.45,14.83,11.676632000000001,8528600
2010-06-14,15.0,15.37,14.83,15.02,11.826235,12015400
2010-06-15,15.11,15.48,15.06,15.48,12.188419999999999,13329400
2010-06-16,15.34,15.49,15.14,15.35,12.086062,7604200
2010-06-17,15.39,15.54,15.15,15.4,12.12543,8115000
2010-06-18,15.46,15.58,15.3,15.51,12.212044,7899200
2010-06-21,15.75,15.91,15.29,15.37,12.10181,8672700
2010-06-22,15.43,15.51,14.88,14.89,11.723874,12535000
2010-06-23,14.89,15.07,14.55,14.82,11.66876,13092800
2010-06-24,14.69,14.72,14.05,14.06,11.070359,19626700
2010-06-25,14.21,14.53,14.05,14.42,11.353814,13459100
2010-06-28,14.53,14.54,14.17,14.22,11.204108,8149200
2010-06-29,13.96,14.0,13.47,13.58,10.699847,17498000
2010-06-30,13.63,13.92,13.4,13.48,10.621052,17454700
2010-07-01,13.39,13.58,12.92,13.45,10.597419,17964200
2010-07-02,13.58,13.66,12.96,13.07,10.298013000000001,13231600
2010-07-06,13.53,13.55,12.64,12.83,10.108915,11968600
2010-07-07,12.92,13.72,12.86,13.69,10.786516,13179200
2010-07-08,13.76,13.99,13.55,13.93,10.975615,14621300
2010-07-09,13.92,14.24,13.84,14.21,11.196231,8356800
2010-07-12,14.15,14.27,13.96,14.21,11.196231,6676600
2010-07-13,14.42,14.81,14.42,14.73,11.605946000000001,13965200
2010-07-14,14.58,14.92,14.4,14.75,11.621703,11012700
2010-07-15,14.79,14.84,13.92,14.18,11.172594,18467000
2010-07-16,13.94,14.03,13.36,13.45,10.597419,16404100
2010-07-19,13.46,13.68,13.28,13.57,10.691968,13820700
2010-07-20,13.24,14.09,13.19,14.0,11.030769,14980200
2010-07-21,14.17,14.2,13.49,13.58,10.699847,14827100
2010-07-22,13.83,14.1,13.81,13.95,10.991374,15609100
2010-07-23,13.93,14.24,13.67,14.21,11.196231,14866900
2010-07-26,14.21,14.68,14.1,14.65,11.542913,8298100
2010-07-27,14.85,14.9,14.29,14.53,11.448360000000001,9555100
2010-07-28,14.51,14.68,14.32,14.46,11.393208,11696700
2010-07-29,14.61,14.74,14.13,14.32,11.2829,9976300
