Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,9.21,9.31,9.12,9.12,8.926196000000001,7994000
2010-01-04,9.43,9.75,9.31,9.73,9.523234,24670100
2010-01-05,9.82,10.59,9.8,10.5,10.276871,49268000
2010-01-06,10.44,10.45,10.14,10.14,9.924522,21539900
2010-01-07,10.01,10.81,9.98,10.8,10.570496,30219400
2010-01-08,10.7,10.87,10.45,10.6,10.374746,17728500
2010-01-11,10.81,11.28,10.8,10.9,10.668372,34876800
2010-01-12,11.45,12.0,11.38,11.95,11.696058,64444400
2010-01-13,12.18,12.43,11.7,12.39,12.126707000000001,47281900
2010-01-14,12.37,12.87,12.22,12.38,12.11692,37690800
2010-01-15,12.41,12.54,11.91,12.09,11.833083,32463700
2010-01-19,11.91,12.25,11.77,12.21,11.950533,17557900
2010-01-20,12.02,12.15,11.75,11.91,11.656908,19593700
2010-01-21,11.88,12.05,11.3,11.32,11.079446,25130400
2010-01-22,11.22,11.84,10.76,11.62,11.373071000000001,40824400
2010-01-25,11.91,12.15,11.58,11.99,11.735208,31520600
2010-01-26,11.9,12.29,11.75,12.09,11.833083,24611200
2010-01-27,12.03,12.23,11.75,12.22,11.96032,22801700
2010-01-28,12.3,12.49,11.6,11.76,11.510095,27511700
2010-01-29,11.94,11.98,10.86,11.06,10.824972,38947300
2010-02-01,11.14,11.82,11.14,11.82,11.56882,30873300
2010-02-02,11.88,12.03,11.45,11.88,11.627546,19444000
2010-02-03,11.69,11.87,11.35,11.42,11.177321000000001,21160400
2010-02-04,11.14,11.52,10.76,10.79,10.560708,23375400
2010-02-05,10.86,11.1,10.53,10.94,10.707521,29041900
2010-02-08,11.14,11.22,10.61,10.73,10.501983000000001,16842300
2010-02-09,11.07,11.07,10.61,10.72,10.492194999999999,20680600
2010-02-10,10.81,10.95,10.35,10.4,10.178995,23953800
2010-02-11,10.44,11.4,10.4,11.38,11.13817,43962500
2010-02-12,11.1,11.17,10.8,11.03,10.795608,29246600
2010-02-16,11.23,11.61,11.23,11.59,11.343708,21592200
2010-02-17,11.7,11.76,11.36,11.63,11.382858,23478100
2010-02-18,11.07,11.18,10.63,10.8,10.570496,49440500
2010-02-19,10.7,11.05,10.62,10.86,10.629221000000001,18008400
2010-02-22,11.01,11.02,10.85,10.92,10.687945,15957500
2010-02-23,10.81,10.84,10.33,10.43,10.208358,19171200
2010-02-24,10.48,10.63,10.38,10.44,10.218146,11404600
2010-02-25,10.31,10.49,10.08,10.45,10.227935,13591000
2010-02-26,10.52,10.67,10.11,10.54,10.316021000000001,17487000
2010-03-01,10.69,10.77,10.57,10.66,10.433472,16189600
2010-03-02,10.81,10.85,10.63,10.69,10.462833999999999,13068300
2010-03-03,10.75,11.17,10.63,10.85,10.619434,20171600
2010-03-04,10.93,10.99,10.63,10.77,10.541135,12453700
2010-03-05,10.91,11.35,10.85,11.27,11.030509,20738400
2010-03-08,11.28,11.55,11.16,11.47,11.226258,16415200
2010-03-09,11.22,11.8,11.21,11.54,11.29477,21965300
2010-03-10,11.7,11.95,11.61,11.89,11.637333,23403200
2010-03-11,11.79,11.8,11.47,11.67,11.422009,13862700
2010-03-12,11.84,12.0,11.65,11.8,11.549246,16217300
2010-03-15,11.66,11.74,11.2,11.38,11.13817,18130100
2010-03-16,11.5,12.34,11.45,12.3,12.038621000000001,34640000
2010-03-17,12.46,12.67,12.21,12.26,11.99947,31164200
