Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,15.11,15.18,15.01,15.01,12.652704,1229000
2010-01-04,15.12,15.43,15.07,15.2,12.812864999999999,2925800
2010-01-05,15.27,15.28,14.98,15.11,12.737,2885400
2010-01-06,15.05,15.4,15.04,15.38,12.964597999999999,4676500
2010-01-07,15.54,15.87,15.33,15.82,13.335496,3613200
2010-01-08,15.7,15.8,15.56,15.77,13.293349,1915900
2010-01-11,15.86,15.86,15.56,15.6,13.150048000000002,2321700
2010-01-12,15.46,15.59,15.22,15.4,12.981456,3032900
2010-01-13,15.4,15.57,15.38,15.51,13.074181,2514000
2010-01-14,15.46,15.55,15.42,15.45,13.023606,2204300
2010-01-15,15.38,15.44,14.91,14.91,12.56841,4555400
2010-01-19,15.02,15.44,14.93,15.2,12.812864999999999,10731500
2010-01-20,15.13,15.24,15.01,15.13,12.753860000000001,4472700
2010-01-21,15.23,15.23,14.73,14.77,12.450399,5474500
2010-01-22,14.72,14.93,14.44,14.47,12.197511,4615800
2010-01-25,14.61,14.7,14.42,14.54,12.256516,2533700
2010-01-26,14.44,14.6,14.36,14.43,12.163791999999999,3819100
2010-01-27,14.43,14.5,14.02,14.26,12.020493,4837200
2010-01-28,14.32,14.36,14.04,14.2,11.969913,4504300
2010-01-29,14.02,14.11,13.21,13.57,11.438855,15226700
2010-02-01,13.81,13.81,13.39,13.64,11.497860000000001,9550300
2010-02-02,14.03,14.48,13.83,14.24,12.003630000000001,7714400
2010-02-03,14.14,14.31,14.03,14.13,11.910907,4598600
2010-02-04,14.01,14.05,13.54,13.56,11.430423,4746800
2010-02-05,13.53,13.56,13.11,13.36,11.261839,5776500
2010-02-08,13.75,13.92,13.51,13.58,11.447283,6038800
2010-02-09,13.74,13.88,13.58,13.84,11.66645,3775800
2010-02-10,13.83,13.85,13.5,13.64,11.497860000000001,4896500
2010-02-11,13.59,13.84,13.46,13.77,11.607447,6039200
2010-02-12,13.59,13.81,13.45,13.78,11.615875,3292800
2010-02-16,13.81,13.85,13.65,13.76,11.599018,4969100
2010-02-17,13.81,13.88,13.61,13.75,11.590585,3938000
2010-02-18,13.69,13.9,13.66,13.83,11.658023,2232000
2010-02-19,13.73,13.82,13.68,13.77,11.607447,3511800
2010-02-22,13.8,13.98,13.78,13.84,11.66645,2406000
2010-02-23,13.85,13.95,13.64,13.71,11.55687,3380800
2010-02-24,13.74,13.74,13.47,13.65,11.548405,3946300
2010-02-25,13.54,13.74,13.37,13.68,11.573789999999999,4020600
2010-02-26,13.67,13.75,13.56,13.75,11.633011999999999,2844400
2010-03-01,13.77,13.91,13.68,13.82,11.692233,2430700
2010-03-02,13.89,13.91,13.8,13.87,11.734535000000001,3158500
2010-03-03,13.9,14.16,13.84,13.98,11.827599000000001,5086700
2010-03-04,13.99,14.23,13.94,14.18,11.996805,3204800
2010-03-05,14.25,14.57,14.23,14.51,12.276000999999999,4111200
2010-03-08,14.54,14.66,14.41,14.64,12.385985,2614100
2010-03-09,14.59,15.14,14.52,15.01,12.699016,7479000
2010-03-10,15.0,15.56,14.91,15.32,12.96129,8968600
2010-03-11,15.24,15.37,15.16,15.31,12.952828,4642700
2010-03-12,15.38,15.4,15.23,15.36,12.995131,2565800
2010-03-15,15.35,15.43,15.21,15.39,13.020513000000001,2769500
2010-03-16,15.35,15.51,15.32,15.51,13.122036999999999,2487200
2010-03-17,15.62,15.88,15.45,15.77,13.342007999999998,6514200
2010-03-18,15.79,15.82,15.51,15.72,13.299705,3916100
2010-03-19,15.34,15.79,15.25,15.34,12.978208,5133100
2010-03-22,15.21,15.54,15.21,15.5,13.113575,5241000
2010-03-23,15.53,15.66,15.43,15.6,13.198181,2601400
2010-03-24,15.57,15.57,15.29,15.44,13.062814,2800100
2010-03-25,15.59,15.62,15.29,15.29,12.935906,3435600
2010-03-26,15.37,15.41,15.14,15.26,12.910525,2925200
2010-03-29,15.34,15.38,15.19,15.31,12.952828,2316300
2010-03-30,15.34,15.47,15.13,15.37,13.003592,2124200
2010-03-31,15.28,15.38,15.15,15.2,12.859765,4130500
2010-04-01,15.34,15.63,15.24,15.62,13.215101999999998,5983400
2010-04-05,15.63,15.92,15.62,15.86,13.418151000000002,2846200
2010-04-06,15.83,16.1,15.68,16.01,13.545054,4946500
2010-04-07,15.99,16.139999,15.89,16.030001000000002,13.561975,5555300
2010-04-08,15.95,16.17,15.83,16.16,13.67196,3780200
2010-04-09,16.16,16.370001000000002,16.040001,16.290001,13.781949,2743100
2010-04-12,16.41,16.799999,16.360001,16.709999,14.137279000000001,5315800
2010-04-13,16.700001,16.75,16.51,16.690001000000002,14.120358,3192100
2010-04-14,16.74,16.85,16.65,16.790001,14.204967000000002,4325900
2010-04-15,16.700001,16.889999,16.51,16.879998999999998,14.281107,3109300
2010-04-16,16.82,16.92,16.5,16.66,14.094979,3831200
2010-04-19,16.639999,16.75,16.469998999999998,16.75,14.171123999999999,3375100
2010-04-20,16.889999,17.07,16.780001000000002,16.99,14.374175,3773000
2010-04-21,17.040001,17.309998999999998,17.02,17.290001,14.627982000000001,4269000
2010-04-22,17.190001000000002,17.690001000000002,17.030001000000002,17.67,14.94948,4621100
2010-04-23,17.68,17.889999,17.559998999999998,17.709999,14.983320999999998,6157200
2010-04-26,17.379998999999998,17.700001,17.32,17.32,14.653359,6260200
2010-04-27,17.23,17.41,16.969998999999998,17.0,14.382628,6777900
2010-04-28,17.08,17.17,16.799999,17.07,14.441854000000001,4033200
2010-04-29,17.18,17.27,16.889999,16.950001,14.340328,7048400
2010-04-30,17.83,17.959999,17.02,17.07,14.441854000000001,11513200
2010-05-03,17.190001000000002,17.77,17.190001000000002,17.709999,14.983320999999998,4842400
2010-05-04,17.299999,17.549999,17.01,17.09,14.458777,4910300
2010-05-05,16.84,17.15,16.52,16.6,14.044217000000002,5692700
2010-05-06,16.49,16.889999,15.12,16.030001000000002,13.561975,8366300
2010-05-07,16.07,16.1,15.46,15.69,13.274323,9296800
2010-05-10,16.35,16.860001,16.35,16.629998999999998,14.069595999999999,4539400
2010-05-11,16.35,16.969998999999998,16.35,16.74,14.162663,4525900
2010-05-12,16.780001000000002,17.17,16.67,17.110001,14.475696,4608800
2010-05-13,17.15,17.16,16.65,16.719998999999998,14.145739,3759800
2010-05-14,16.58,16.65,16.190001000000002,16.49,13.951153,6765900
2010-05-17,16.51,16.84,16.27,16.790001,14.204967000000002,5734500
2010-05-18,16.889999,16.959999,16.35,16.4,13.875008,4665600
2010-05-19,16.280001000000002,16.469998999999998,16.0,16.27,13.765026999999998,5826400
2010-05-20,15.89,16.08,15.64,15.7,13.282782000000001,7173300
2010-05-21,15.31,16.059998999999998,15.31,15.77,13.342007999999998,5352700
2010-05-24,15.7,16.1,15.64,15.87,13.426609,5019900
2010-05-25,15.56,16.08,15.21,16.07,13.595818,8586300
2010-05-26,16.24,16.549999,16.15,16.23,13.774041,6933100
2010-05-27,16.549999,16.92,16.51,16.91,14.351142000000001,4991900
2010-05-28,16.83,16.99,16.48,16.66,14.138969,3931300
2010-06-01,16.549999,17.5,16.450001,16.66,14.138969,8528200
2010-06-02,16.73,17.049999,16.5,17.040001,14.461469000000001,6077800
2010-06-03,17.1,17.190001000000002,16.83,17.040001,14.461469000000001,2763900
