Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,10.03,10.14,9.94,10.0,9.268739,4614900
2010-01-04,10.02,10.26,9.99,10.24,9.49119,6121300
2010-01-05,10.23,10.39,10.0,10.37,9.611683,7035400
2010-01-06,10.34,10.49,10.19,10.37,9.611683,5368800
2010-01-07,10.62,11.33,10.58,11.21,10.390258,19444100
2010-01-08,11.13,11.27,10.91,11.03,10.223419999999999,8828900
2010-01-11,11.03,11.2,10.89,10.97,10.167809,5883300
2010-01-12,10.87,10.92,10.58,10.9,10.102925,5851900
2010-01-13,10.84,11.36,10.82,11.32,10.492211,10455800
2010-01-14,11.31,11.41,11.15,11.23,10.408794,6357200
2010-01-15,11.25,11.31,10.93,11.0,10.195615,5089600
2010-01-19,10.97,11.13,10.88,10.99,10.186347,6264600
2010-01-20,10.91,11.01,10.75,10.9,10.102925,6675900
2010-01-21,10.9,10.97,10.49,10.52,9.750716,11734200
2010-01-22,10.49,10.78,10.19,10.22,9.472653,8865600
2010-01-25,10.33,10.4,10.03,10.23,9.481921,9852400
2010-01-26,10.18,10.44,10.14,10.35,9.593146,7834100
2010-01-27,10.31,10.37,10.05,10.33,9.574607,11140800
2010-01-28,10.4,10.65,10.17,10.56,9.78779,10250500
2010-01-29,10.61,10.83,10.5,10.52,9.750716,10002400
2010-02-01,10.52,10.57,10.34,10.56,9.78779,6952800
2010-02-02,10.82,11.41,10.81,11.35,10.520023,11006400
2010-02-03,11.71,11.79,11.23,11.37,10.538556,8513500
2010-02-04,11.22,11.25,10.89,10.92,10.121464,7729300
2010-02-05,10.9,10.96,10.52,10.88,10.084392,11050900
2010-02-08,10.92,11.46,10.7,11.13,10.316108999999999,10090800
2010-02-09,11.07,11.25,10.63,11.08,10.269764,17560400
2010-02-10,11.03,11.37,10.84,11.23,10.408794,13911100
2010-02-11,11.2,11.75,11.14,11.71,10.853695,8790800
2010-02-12,11.54,11.8,11.48,11.74,10.8815,6547900
2010-02-16,11.46,11.66,11.27,11.66,10.80735,7849000
2010-02-17,11.73,11.82,11.41,11.61,10.761009,6581800
2010-02-18,11.62,11.62,11.37,11.49,10.649784,4326600
2010-02-19,11.43,11.58,11.35,11.43,10.594172,5365400
2010-02-22,11.44,11.59,11.26,11.38,10.547830000000001,4399600
2010-02-23,11.4,11.48,10.85,10.97,10.167809,6741400
2010-02-24,11.04,11.1,10.5,10.81,10.019509,9054000
2010-02-25,10.57,10.75,10.5,10.7,9.917552,6269100
2010-02-26,10.69,10.88,10.45,10.83,10.038045,6144700
2010-03-01,10.88,11.02,10.83,10.92,10.121464,4018200
2010-03-02,10.85,11.08,10.76,10.77,9.982433,4129200
2010-03-03,10.77,11.02,10.77,10.93,10.130733,4012900
2010-03-04,10.9,11.06,10.79,10.87,10.075119,3459200
2010-03-05,10.99,11.27,10.88,11.23,10.408794,5411200
2010-03-08,11.23,11.49,11.15,11.42,10.584903,6539600
2010-03-09,11.34,11.63,11.32,11.49,10.649784,4854300
