Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,18.405001000000002,18.49,18.27,18.275,15.903326999999999,3022600
2010-01-04,18.0,18.325001,17.875,18.02,15.681420000000001,12575000
2010-01-05,17.959999,18.52,17.959999,18.504998999999998,16.103479,10609200
2010-01-06,18.525,18.65,18.385,18.58,16.168739000000002,7493800
2010-01-07,19.375,19.870001000000002,19.125,19.530001000000002,16.995455,27294600
2010-01-08,19.16,19.309998999999998,19.014999,19.275,16.773542000000003,11693800
2010-01-11,19.405001000000002,19.424999,19.129998999999998,19.245001000000002,16.747438,7300800
2010-01-12,19.15,19.174999,18.93,19.07,16.595154,5791600
2010-01-13,19.09,19.184998999999998,18.955,19.135,16.651714000000002,5494200
2010-01-14,19.15,19.15,18.805,18.9,16.447212,5460000
2010-01-15,18.85,19.059998999999998,18.555,18.645,16.225309,7892800
2010-01-19,18.6,18.945,18.6,18.940001000000002,16.482025,5159000
2010-01-20,18.834999,18.834999,18.575001,18.705,16.277517,4229600
2010-01-21,18.76,18.805,18.4,18.424999,16.033854,8178600
2010-01-22,18.41,18.66,18.33,18.370001000000002,15.985995,9267200
2010-01-25,18.530001000000002,18.639999,18.385,18.504998999999998,16.103479,6020600
2010-01-26,18.48,19.225,18.48,19.040001,16.56904,12284400
2010-01-27,19.055,19.295,18.915001,19.195,16.703926,8131400
2010-01-28,19.219998999999998,19.315001000000002,19.049999,19.115,16.634311999999998,10881800
2010-01-29,19.209999,19.424999,19.0,19.004998999999998,16.538591,8612000
2010-02-01,19.055,19.389999,19.055,19.25,16.751785,10054400
2010-02-02,19.385,19.620001000000002,19.375,19.615,17.069422,11624600
2010-02-03,19.575001,19.620001000000002,19.264999,19.379998999999998,16.864916,9363200
2010-02-04,19.375,19.445,19.07,19.075001,16.599495,10186400
2010-02-05,19.110001,19.245001000000002,18.85,19.155001000000002,16.669123000000003,9918000
2010-02-08,19.174999,19.18,18.895,18.895,16.442863,5373400
2010-02-09,19.065001000000002,19.075001,18.844998999999998,18.955,16.600502,5827200
2010-02-10,18.965,19.059998999999998,18.700001,18.805,16.469135,8258800
2010-02-11,18.805,18.825001,18.625,18.76,16.429729000000002,9426200
2010-02-12,18.584999,18.834999,18.559998999999998,18.795,16.460375,7173600
2010-02-16,18.91,19.25,18.870001000000002,19.235001,16.845724,5877000
2010-02-17,19.32,19.48,19.315001000000002,19.395,16.985847,5806000
2010-02-18,19.395,19.594998999999998,19.264999,19.545,17.117212,6046600
2010-02-19,19.5,19.705,19.485001,19.575001,17.143488,5828200
2010-02-22,19.639999,19.735001,19.485001,19.684998999999998,17.239822,8119800
2010-02-23,19.690001000000002,19.75,19.395,19.59,17.156622,9109200
2010-02-24,19.674999,20.275,19.43,20.254998999999998,17.739023,14029600
2010-02-25,19.940001000000002,20.950001,19.879998999999998,20.870001000000002,18.277632,21334600
2010-02-26,20.799999,21.045,20.790001,20.815001000000002,18.22946,12578400
2010-03-01,20.82,20.9,20.535,20.834999,18.246979,10664000
2010-03-02,20.85,20.85,20.459999,20.540001,17.988621,10943200
2010-03-03,20.620001000000002,20.715,20.48,20.58,18.023653,9475400
2010-03-04,20.620001000000002,20.715,20.254998999999998,20.52,17.971104,15264200
2010-03-05,20.645,20.764999,20.5,20.764999,18.185675,7784200
2010-03-08,20.785,20.83,20.65,20.77,18.190051999999998,5567200
2010-03-09,20.790001,20.969998999999998,20.705,20.83,18.242599,5593600
2010-03-10,20.834999,20.985001,20.719998999999998,20.934998999999998,18.334557,5693400
2010-03-11,20.885,20.985001,20.815001000000002,20.885,18.290768,7986600
2010-03-12,20.985001,21.174999,20.91,21.065001000000002,18.448406,9211000
2010-03-15,21.035,21.450001,20.995001000000002,21.434998999999998,18.772448,9616000
2010-03-16,21.450001,21.620001000000002,21.415001,21.615,18.930094,7799600
2010-03-17,21.690001000000002,21.690001000000002,21.504998999999998,21.549999,18.873163,5859000
2010-03-18,21.665001,21.705,21.389999,21.58,18.899442999999998,7385600
2010-03-19,21.49,21.705,21.43,21.49,18.820614000000003,7226000
2010-03-22,21.415001,21.93,21.415001,21.809998999999998,19.100868,5582000
2010-03-23,21.870001000000002,21.945,21.584999,21.764999,19.061459,6647600
2010-03-24,21.665001,21.834999,21.49,21.615,18.930094,5747400
2010-03-25,21.754998999999998,21.959999,21.629998999999998,21.76,19.057077,6666200
2010-03-26,21.83,21.889999,21.514999,21.665001,18.973881,7450200
2010-03-29,21.705,21.780001000000002,21.434998999999998,21.639999,18.951984,5061000
2010-03-30,21.695,21.84,21.530001000000002,21.6,18.916954,5218200
2010-03-31,21.52,21.58,21.184998999999998,21.26,18.619183,8399200
2010-04-01,21.315001000000002,21.465,21.190001000000002,21.355,18.702385,7531400
2010-04-05,21.4,22.205,21.4,22.174999,19.420528,9675200
2010-04-06,22.15,22.475,22.120001000000002,22.35,19.573795,11874400
2010-04-07,22.32,22.455,22.16,22.309998999999998,19.538755,9958600
2010-04-08,22.434998999999998,22.67,22.049999,22.41,19.626339,14078400
2010-04-09,22.299999,22.48,22.07,22.415001,19.630722,9814200
2010-04-12,22.530001000000002,22.889999,22.415001,22.805,19.972279,11568400
2010-04-13,22.795,23.165001,22.780001000000002,23.075001,20.208736,12064400
2010-04-14,23.165001,23.235001,22.969998999999998,23.17,20.291930999999998,10898800
2010-04-15,23.014999,23.174999,22.915001,23.125,20.252525,7358600
2010-04-16,23.025,23.115,22.639999,22.84,20.00293,9465000
2010-04-19,22.825001,22.855,22.43,22.745001000000002,19.919724,6014400
2010-04-20,22.879998999999998,23.09,22.754998999999998,22.995001000000002,20.138672,7961400
2010-04-21,23.004998999999998,23.5,22.934998999999998,23.43,20.519638,9900000
2010-04-22,23.275,23.945,23.225,23.844998999999998,20.883087,11075800
2010-04-23,23.965,24.045,23.645,24.004998999999998,21.023218,9337000
2010-04-26,24.035,24.25,23.895,23.945,20.970665,9419200
2010-04-27,23.934998999999998,24.105,23.485001,23.5,20.580944,11373800
2010-04-28,23.67,23.67,23.225,23.35,20.44957,8614600
2010-04-29,23.504998999999998,23.790001,23.41,23.635,20.699173000000002,5579600
2010-04-30,23.690001000000002,23.834999,23.139999,23.17,20.291930999999998,8596200
2010-05-03,23.290001,23.745001000000002,23.129998999999998,23.57,20.642246,5911800
2010-05-04,23.379998999999998,23.379998999999998,22.77,22.834999,19.998545,10201200
2010-05-05,22.700001,23.745001000000002,22.684998999999998,23.16,20.283173,16365600
2010-05-06,22.610001,22.875,21.0,22.315001000000002,19.543142,19921000
2010-05-07,22.32,22.514999,21.540001,21.834999,19.122766,19790800
2010-05-10,22.975,23.174999,22.370001000000002,22.879998999999998,20.037962,15926800
2010-05-11,22.754998999999998,23.120001000000002,22.584999,22.870001000000002,20.161375,14852600
2010-05-12,22.965,23.275,22.77,23.25,20.496374,9316800
2010-05-13,23.245001000000002,23.245001000000002,22.575001,22.68,19.993879,8405400
2010-05-14,22.6,22.915001,22.389999,22.625,19.945393,12597400
2010-05-17,22.715,22.844998999999998,22.290001,22.625,19.945393,15620600
2010-05-18,21.85,22.299999,21.605,21.84,19.253366,30313400
2010-05-19,21.559998999999998,21.799999,21.205,21.594998999999998,19.037376000000002,15625200
2010-05-20,21.059998999999998,22.309998999999998,21.049999,21.719998999999998,19.147579,20981600
2010-05-21,21.415001,22.17,21.264999,21.99,19.385604999999998,16391400
2010-05-24,22.01,22.27,21.83,21.975,19.372377,10267600
2010-05-25,21.610001,22.700001,21.5,22.674999,19.989473,22510200
2010-05-26,22.73,22.865,22.155001000000002,22.25,19.614813,17042600
2010-05-27,22.555,23.02,22.540001,23.004998999999998,20.280388000000002,12059800
2010-05-28,23.01,23.075001,22.58,22.73,20.037958,8702200
2010-06-01,22.684998999999998,22.934998999999998,22.475,22.635,19.95421,11173600
2010-06-02,22.67,23.059998999999998,22.370001000000002,23.059998999999998,20.328869,11681800
2010-06-03,23.49,23.67,23.030001000000002,23.15,20.408215,12500600
2010-06-04,22.885,22.975,22.18,22.245001000000002,19.610398999999997,10413400
2010-06-07,22.389999,22.540001,21.959999,21.985001,19.381189000000003,9911200
2010-06-08,21.934998999999998,22.424999,21.82,22.385,19.73382,9541400
2010-06-09,22.485001,22.985001,22.424999,22.51,19.844019,10789400
2010-06-10,22.75,23.145,22.68,23.110001,20.372953,8826200
2010-06-11,22.844998999999998,23.195,22.75,23.025,20.298021,6545000
2010-06-14,23.125,23.299999,22.844998999999998,23.040001,20.311239,7817800
2010-06-15,23.055,23.309998999999998,22.945,23.309998999999998,20.549265,7654400
2010-06-16,23.225,23.370001000000002,23.045,23.15,20.408215,5874000
2010-06-17,23.16,23.16,22.73,22.950001,20.231899,7358000
2010-06-18,22.975,23.344998999999998,22.885,22.98,20.258348,11629000
2010-06-21,23.105,23.16,22.424999,22.540001,19.870468,7961600
2010-06-22,22.584999,22.834999,22.219998999999998,22.24,19.605995,7551600
2010-06-23,22.174999,22.52,22.004998999999998,22.355,19.707367,7417600
2010-06-24,22.41,22.41,21.959999,22.07,19.456120000000002,8442400
2010-06-25,22.075001,22.075001,21.559998999999998,21.57,19.015341,21047400
2010-06-28,21.635,21.865,21.545,21.610001,19.050606,11185800
2010-06-29,21.290001,21.5,20.915001,21.014999,18.526075,18893600
2010-06-30,21.045,21.360001,20.905001000000002,20.975,18.490812,11428200
2010-07-01,20.965,21.49,20.76,21.455,18.913971,12752400
2010-07-02,21.475,21.594998999999998,21.110001,21.184998999999998,18.67594,8265400
2010-07-06,21.665001,21.754998999999998,21.040001,21.209999,18.697976999999998,10192400
2010-07-07,21.299999,21.764999,21.18,21.754998999999998,19.178429,10515000
2010-07-08,21.43,21.51,20.465,20.764999,18.305687,30150000
2010-07-09,20.795,20.870001000000002,20.59,20.860001,18.389437,10671200
2010-07-12,20.855,21.040001,20.799999,20.995001000000002,18.508444,8586800
2010-07-13,21.25,21.465,21.07,21.385,18.852251000000003,8038800
2010-07-14,21.355,21.355,21.014999,21.235001,18.72002,7829000
2010-07-15,21.209999,21.475,21.02,21.440001000000002,18.900736,8723600
2010-07-16,21.379998999999998,21.379998999999998,20.549999,20.620001000000002,18.17786,11322200
2010-07-19,20.605,20.905001000000002,20.594998999999998,20.700001,18.248381,8126200
2010-07-20,20.504998999999998,21.030001000000002,20.299999,21.02,18.530480999999998,12132600
2010-07-21,21.115,21.200001,20.754998999999998,20.855,18.385025,8049600
2010-07-22,21.025,21.275,20.995001000000002,21.125,18.623043,8814200
2010-07-23,21.145,21.450001,21.0,21.440001000000002,18.900736,5574600
2010-07-26,21.370001000000002,21.49,21.174999,21.48,18.935995000000002,5933200
2010-07-27,21.530001000000002,21.530001000000002,20.905001000000002,21.129998999999998,18.627453,10710200
2010-07-28,21.145,21.41,20.75,20.815001000000002,18.349766,6956400
2010-07-29,20.91,20.975,20.040001,20.465,18.041214,15625600
2010-07-30,20.344998999999998,20.809998999999998,20.215,20.76,18.301275,11334800
2010-08-02,20.965,21.184998999999998,20.860001,20.995001000000002,18.508444,10918800
2010-08-03,20.905001000000002,20.955,20.325001,20.51,18.080883,9042000
